turn_id,point_type,index,x,y,a_max,v_max
1,entry,8279,780.3836334864797,0.6405524478574695,9.81,9.904544411531507
1,apex,9533,790.6247750776014,2.9389012355743804,9.81,3.1127317587615213
1,exit,10821,798.908881937306,9.387172468680467,9.81,9.904544411531507
2,entry,78662,932.4110864924133,508.3054492744193,9.81,9.904544411531507
2,apex,79921,921.9980870186354,509.6153082701338,9.81,4.0366242842694025
2,exit,81175,911.7264331408753,507.46717110358287,9.81,9.904544411531507
3,entry,77466,942.0673952039851,505.65369613740893,9.81,19.22228961022054
3,apex,82328,902.5349522628711,504.58694948431526,9.81,7.84746687217381
3,exit,87307,886.1486102908904,468.59938631971977,9.81,19.22228961022054
4,entry,120799,832.1175496474184,277.1183734036073,9.81,9.387208168932762
4,apex,121925,826.7434979676601,284.8629492494052,9.81,2.7098535816361924
4,exit,123051,821.7382087262208,292.8539822806043,9.81,9.387208168932762
5,entry,126877,800.650564919692,312.6540200025538,9.81,21.770194532579143
5,apex,133039,756.683956465631,287.35493421519897,9.81,8.887644700991174
5,exit,139324,765.1324621255724,237.3431326692972,9.81,21.770194532579143
6,entry,162180,737.5944988613785,74.62163552986496,9.81,9.042106178175787
6,apex,163235,729.2028729603547,72.16151232736252,9.81,2.6102312180054845
6,exit,164310,721.2843873676604,75.87855782202152,9.81,9.042106178175787
7,entry,282920,-6.441636124852216,13.45907831412589,9.81,7.880728147030691
7,apex,283737,-4.750992053567842,7.038008388655738,9.81,2.274970258549215
7,exit,284536,0.09582323077307138,2.4946064476641037,9.81,7.880728147030691
8,entry,283603,-5.371919649883056,7.972593446718208,9.81,9.10191612435602
8,apex,284678,1.1783622568843648,2.004552926857503,9.81,2.6274968622691715
8,exit,285738,9.93018285620523,0.6265666330607521,9.81,9.10191612435602
