x,y
5.071019796957618269e+02,-4.481430691703064184e+00
5.071105390078393498e+02,-4.481087813528852770e+00
5.071191199308947262e+02,-4.480723664994966882e+00
5.071275897458320969e+02,-4.480473647185511332e+00
5.071359651429008863e+02,-4.480320728545902575e+00
5.071442935841500343e+02,-4.480216483055371235e+00
5.071526224591863183e+02,-4.480112558601565098e+00
5.071609824190460927e+02,-4.479977680380470062e+00
5.071693660668028087e+02,-4.479819391527072092e+00
5.071777607468060864e+02,-4.479650600320550957e+00
5.071861538827334925e+02,-4.479484134107337034e+00
5.071945385824741379e+02,-4.479327021032785794e+00
5.072029173416779031e+02,-4.479176711569367697e+00
5.072112935349936720e+02,-4.479029759409066003e+00
5.072196704867126300e+02,-4.478882769621207238e+00
5.072280497106318080e+02,-4.478734194443091177e+00
5.072364304504042138e+02,-4.478584802239914175e+00
5.072448118059182889e+02,-4.478435508053721037e+00
5.072531929015223113e+02,-4.478287201973312648e+00
5.072615734113346662e+02,-4.478140213233809952e+00
5.072699535522183965e+02,-4.477994317383616085e+00
5.072783335640914402e+02,-4.477849266451349841e+00
5.072867136767674197e+02,-4.477704822777055504e+00
5.072950939589976542e+02,-4.477560913066011672e+00
5.073034743502950619e+02,-4.477417595911913573e+00
5.073118547865300343e+02,-4.477274933625692732e+00
5.073202352073100201e+02,-4.477132984709166763e+00
5.073286155981754746e+02,-4.476991760846874335e+00
5.073369959755269178e+02,-4.476851242268947928e+00
5.073453763563371695e+02,-4.476711408622163546e+00
5.073537567563061543e+02,-4.476572240856449447e+00
5.073621371783014524e+02,-4.476433733059325348e+00
5.073705176177583667e+02,-4.476295886927499801e+00
5.073788980700210800e+02,-4.476158704250689624e+00
5.073872785308407174e+02,-4.476022186408890491e+00
5.073956589995030981e+02,-4.475886331221082592e+00
5.074040394771123488e+02,-4.475751134674839982e+00
5.074124199647870341e+02,-4.475616592742668765e+00
5.074208004635235625e+02,-4.475482701527895735e+00
5.074291809733591094e+02,-4.475349458157177551e+00
5.074375614938791159e+02,-4.475216860238865557e+00
